-0.292208	0.764765	-0.354034
-0.328998	0.743717	-0.361797
-0.27025	0.771521	-0.422541
-0.328658	0.771161	-0.361637
-0.299424	0.771581	-0.346381
-0.328298	0.798765	-0.331005
-0.328848	0.757279	-0.392189
-0.34326	0.771071	-0.346411
-0.320912	0.805671	-0.338578
-0.313366	0.826219	-0.361307
-0.321252	0.778227	-0.338738
-0.335854	0.778137	-0.323512
-0.328128	0.812487	-0.330925
-0.335344	0.819303	-0.323272
-0.328288	0.798845	-0.315769
-0.357482	0.798745	-0.270081
-0.349576	0.846897	-0.262178
-0.3054	0.874851	-0.261988
-0.364688	0.805641	-0.247192
-0.34266	0.812957	-0.209047
-0.321352	0.765065	-0.232166
-0.357442	0.799065	-0.209137
-0.3791	0.819433	-0.201414
-0.37926	0.805791	-0.186258
-0.364478	0.819683	-0.186168
-0.364298	0.833485	-0.170852
-0.335064	0.833905	-0.155596
-0.320442	0.834155	-0.14035
-0.364478	0.819683	-0.186168
-0.37905	0.819833	-0.125234
-0.321112	0.779347	-0.125434
-0.327818	0.827329	-0.117541
-0.357582	0.785583	-0.163509
-0.356862	0.840791	-0.102245
-0.356852	0.840871	-0.087009
-0.291708	0.793489	-0.110098
-0.327798	0.827489	-0.087069
-0.298924	0.800305	-0.102445
-0.30612	0.807281	-0.06432
-0.313186	0.827659	-0.087059
-0.290998	0.848617	-0.06407
-0.26935	0.828169	-0.087029
-0.30612	0.807281	-0.06432
-0.30593	0.821163	-0.033768
-0.291318	0.821333	-0.033758
-0.239926	0.842471	-0.041221
-0.2695	0.814607	-0.056637
-0.23255	0.849297	-0.06403
-0.2693	0.828569	-0.010849
-0.291488	0.807611	-0.033838
-0.283932	0.828239	-0.041331
-0.218098	0.835825	-0.048864
-0.218128	0.835585	-0.094572
-0.23239	0.862939	-0.079186
-0.19595	0.856463	-0.086819
-0.210722	0.842651	-0.071673
-0.203006	0.876921	-0.094322
-0.247182	0.848967	-0.094512
-0.217968	0.849227	-0.109728
-0.246862	0.876251	-0.124824
-0.210582	0.856133	-0.117301
-0.173972	0.863379	-0.124854
-0.19634	0.828619	-0.163159
-0.210792	0.842091	-0.178325
-0.224884	0.883167	-0.162859
-0.188804	0.849087	-0.201124
-0.217678	0.876271	-0.185748
-0.174052	0.862739	-0.246742
-0.211012	0.827969	-0.254585
-0.188834	0.848847	-0.246832
-0.167156	0.828639	-0.224083
-0.19608	0.855423	-0.284887
-0.225464	0.841441	-0.269751
-0.217918	0.861989	-0.29248
-0.211232	0.813847	-0.330845
-0.174942	0.793809	-0.308086
-0.152784	0.814527	-0.330805
-0.15985	0.834905	-0.353544
-0.211422	0.799965	-0.361397
-0.19633	0.841061	-0.406855
-0.19667	0.813617	-0.407015
-0.189284	0.820523	-0.414588
-0.19687	0.799655	-0.452803
-0.218718	0.806141	-0.475632
-0.19723	0.772051	-0.483435
-0.182988	0.744537	-0.529293
-0.175772	0.737721	-0.536946
-0.19742	0.758169	-0.513987
-0.176152	0.709957	-0.59805
-0.183538	0.703051	-0.590477
-0.220158	0.695725	-0.59816
-0.191464	0.654739	-0.628852
-0.176712	0.668391	-0.67447
-0.169986	0.620569	-0.651891
-0.19907	0.633711	-0.697539
-0.133926	0.586329	-0.720628
-0.19978	0.578583	-0.743567
-0.141842	0.538097	-0.743767
